Time;Bx;By;Bz;I;Azimuth;Pitch;Roll;
0.0350;2.4984;15.5402;−20.3579;3.0000;−10.621;3.948;−0.412;
0.0400;2.4984;15.5402;−20.3579;2.0000;−10.621;3.948;−0.412;
0.0850;4.1551;17.0402;−19.5387;2.0000;−15.342;3.948;−0.412;
0.1050;4.1551;17.0402;−19.5387;2.0000;−16.271;−8.731;−4.764;
0.1750;4.1551;17.0402;−19.5387;2.0000;−16.090;−9.969;−4.860;
0.2430;4.1551;17.0402;−19.5387;2.0000;−16.090;−9.969;−4.860;
0.2450;4.1551;17.0402;−19.5387;2.0000;−11.829;−5.325;0.647;
0.2860;4.5012;14.7889;−20.4626;2.0000;−14.401;−5.325;0.647;
0.3200;4.5012;14.7889;−20.4626;2.0000;−13.972;4.000;3.312;
0.3860;4.5012;14.7889;−20.4626;2.0000;−15.764;−5.155;−0.490;
0.4420;4.5012;14.7889;−20.4626;4.0000;−15.764;−5.155;−0.490;
0.4560;4.5012;14.7889;−20.4626;4.0000;−11.520;−6.589;2.852;
0.4870;3.7603;14.9981;−19.6905;4.0000;−9.180;−6.589;2.852;
0.5260;3.7603;14.9981;−19.6905;4.0000;−10.278;−5.111;2.121;
0.5950;3.7603;14.9981;−19.6905;4.0000;−16.914;−7.928;−4.602;
0.6420;3.7603;14.9981;−19.6905;2.0000;−16.914;−7.928;−4.602;
0.6650;3.7603;14.9981;−19.6905;2.0000;−23.140;−2.253;−8.780;
0.6850;4.8721;14.9678;−19.5373;2.0000;−26.431;−2.253;−8.780;
0.7350;4.8721;14.9678;−19.5373;2.0000;−29.684;−9.101;−15.777;
0.8050;4.8721;14.9678;−19.5373;2.0000;−13.252;−11.582;1.432;
0.8410;4.8721;14.9678;−19.5373;1.0000;−13.252;−11.582;1.432;
0.8750;4.8721;14.9678;−19.5373;1.0000;−16.277;−10.459;−1.338;
0.8850;4.3984;12.3888;−19.3151;1.0000;−17.192;−10.459;−1.338;
0.9450;4.3984;12.3888;−19.3151;1.0000;−14.998;−12.704;0.066;
1.0150;4.3984;12.3888;−19.3151;1.0000;−16.695;−13.028;−1.545;
1.0410;4.3984;12.3888;−19.3151;2.0000;−16.695;−13.028;−1.545;
1.0860;4.3984;12.3888;−19.3151;2.0000;−14.477;−13.934;0.272;
1.0880;4.0733;11.9479;−19.4821;2.0000;−13.730;−13.934;0.272;
1.1550;4.0733;11.9479;−19.4821;2.0000;−15.151;−12.566;−0.675;
1.2250;4.0733;11.9479;−19.4821;2.0000;−9.546;−15.519;3.657;
1.2410;4.0733;11.9479;−19.4821;3.0000;−9.546;−15.519;3.657;
1.2850;5.0201;12.2256;−19.1200;3.0000;−12.590;−15.519;3.657;
1.2950;5.0201;12.2256;−19.1200;3.0000;−14.570;−4.647;4.287;
1.3650;5.0201;12.2256;−19.1200;3.0000;−5.701;−6.200;10.575;
1.4350;5.0201;12.2256;−19.1200;3.0000;−14.801;−7.329;3.458;
1.4410;5.0201;12.2256;−19.1200;3.0000;−14.801;−7.329;3.458;
1.4850;5.6142;11.1795;−18.6015;3.0000;−18.366;−7.329;3.458;
1.5050;5.6142;11.1795;−18.6015;3.0000;−19.237;−8.047;2.545;
1.5750;5.6142;11.1795;−18.6015;3.0000;−20.788;−11.101;0.271;
1.6430;5.6142;11.1795;−18.6015;3.0000;−20.788;−11.101;0.271;
1.6450;5.6142;11.1795;−18.6015;3.0000;−16.017;−10.570;4.449;
1.6850;5.1749;9.7137;−19.5193;3.0000;−15.445;−10.570;4.449;
1.7150;5.1749;9.7137;−19.5193;3.0000;−19.895;−16.899;−0.692;
1.7850;5.1749;9.7137;−19.5193;3.0000;−18.517;−13.028;1.526;
1.8420;5.1749;9.7137;−19.5193;5.0000;−18.517;−13.028;1.526;
1.8560;5.1749;9.7137;−19.5193;5.0000;−23.448;−13.000;−2.397;
1.8860;5.6318;9.2538;−20.1594;5.0000;−25.616;−13.000;−2.397;
1.9250;5.6318;9.2538;−20.1594;5.0000;−29.506;−2.768;−0.423;
1.9950;5.6318;9.2538;−20.1594;5.0000;−29.796;−3.933;−1.258;
2.0410;5.6318;9.2538;−20.1594;5.0000;−29.796;−3.933;−1.258;
2.0730;5.6318;9.2538;−20.1594;5.0000;−32.648;−11.216;−7.500;
2.0870;4.9811;8.9512;−20.9981;5.0000;−31.153;−11.216;−7.500;
2.1350;4.9811;8.9512;−20.9981;5.0000;−15.405;−11.095;3.880;
2.2050;4.9811;8.9512;−20.9981;5.0000;−15.319;−11.591;3.814;
